Function Name,Category,Purpose (1 line),Invoked By / Menu,Input Parameters,Output / Returns,Side Effects,Errors & Fixes,Related Functions,Notes
getEnrichmentForRow_,Enrichment,Look up enrichment data (Region; Site; Territory; USD) for a data row using PLA Lookup sheet,appendRowsWithSourceLink_() for each extracted row,row (Array): extracted row data; lookupMap (Object): PLA ID→lookup data mapping,Array: [regionalArea; siteName; territory; usdAmount],Performs PLA lookup; converts currency to USD if needed; returns enrichment values for appending,Enrichment columns blank → PLA Lookup sheet missing or empty; Fix: create sheet with PLA data; Verify PLA ID in source row matches lookup keys,toUsdIfPhp_; isManagedServices_; isOpexWbs_; loadPlaLookupMap_,Handles special cases: OPEX/Managed Services (different territory treatment); currency conversion
toUsdIfPhp_,Currency Conversion,Convert PHP or EUR amounts to USD using CONFIG.usdConversionRate,getEnrichmentForRow_(); formatCellByHeader_(),"amountValue (number/string): amount to convert; currencyValue (string): currency code (""PHP""; ""EUR""; ""USD""; etc.)",Number (converted USD amount); or original amount if currency is USD or unknown,Divides amount by CONFIG.usdConversionRate if currency is PHP/EUR; passes through unchanged if USD,"Incorrect USD amounts → Update CONFIG.usdConversionRate if exchange rate changed; Re-run """"Recompute USD for All Rows""""",getEnrichmentForRow_; formatCellByHeader_; CONFIG.usdConversionRate,"Default rate: 57 PHP/USD; Update when rate changes significantly (e.g., 57 → 58)"
loadPlaLookupMap_,Lookup,Read PLA Lookup sheet and build in-memory map for fast enrichment lookups,getPlaLookupMapCached_() on first call for each spreadsheet; cached thereafter,ss (Spreadsheet): bound spreadsheet,"Object: {plaId → {regionalArea; siteName; territory}}; example: {""PH001"": {regionalArea: ""APAC""; siteName: ""Manila""; territory: ""PH""}}",Reads entire PLA Lookup sheet into memory; caches per spreadsheet ID,PLA Lookup sheet not found → Script creates it automatically (no data); Add lookup rows manually; Empty lookup → Enrichment columns blank; Add PLA records to populate,getPlaLookupMapCached_; getEnrichmentForRow_; CACHE object,Cached in _CACHE.plaLookupMapBySsId[ssId] to avoid repeated sheet reads; cleared via clearPlaLookupMapCache_()
appendRowsWithSourceLink_,Output,Append extracted rows to target output sheet with Source File hyperlinks and enrichment columns,processSingleFile_() after row extraction,"sheet (Sheet): target output sheet (e.g., ""GR Posted 2025""); rows (Array): extracted row data; fileInfo (Object): {id; name; url}; controllerSs (Spreadsheet): for enrichment lookup",Number: count of rows appended,Appends rows to sheet; adds HYPERLINK formulas to Source File column; fills enrichment columns; applies formatting (dates; currency; %),Append fails → Output sheet not writable; Verify permissions; Check sheet has correct headers; Row count exploding → Archive old data; Performance degrades with >20K rows,getEnrichmentForRow_; formatCellByHeader_; fillCurrencyFromHints_; ensureEnrichmentColumns_,Critical step; adds Source File HYPERLINK formula; formats cells by column type; applies payment milestone % conversion
ensureSheets_,Sheet Management,Verify all required sheets exist (PLA Lookup; Processed Files Log; output sheets); create if missing,consolidateGRTemplateData() at start; onOpen() setup,ss (Spreadsheet): bound spreadsheet,None (creates sheets as needed),"Creates ""Processed Files Log""; ""PLA Lookup""; ""GR Automation Config""; output sheets for each year in CONFIG.outputSheets; adds headers if missing",Sheet creation fails → Permissions issue; Verify you can create sheets in this spreadsheet,ensureEnrichmentColumns_; readConfigMappings_,Idempotent: safe to call repeatedly; called on each run to ensure sheets exist
findOutputSheetByYear_,Sheet Management,Find or create output sheet for a given year (may resolve to external spreadsheet if configured),processSingleFile_() to route rows to correct sheet,ss (Spreadsheet): bound spreadsheet; year (number): e.g.; 2025,Sheet object for target sheet; may be in bound spreadsheet or external spreadsheet,"Creates sheet if missing; may open external spreadsheet if configured in """"GR Automation Config""""; ensures enrichment columns exist","Sheet in external spreadsheet not accessible → Verify permissions on target spreadsheet; Verify spreadsheet ID in """"GR Automation Config"""" is correct",findOutputSheetByYear_; ensureEnrichmentColumns_; getOutputSheetNameForYear,"Supports multi-spreadsheet setup via ""GR Automation Config"" sheet"
appendTrackerRowIfNotDuplicate_,Logging,Add result row to Processed Files Log; skip if file was already logged (duplicate prevention),processSingleFile_() after processing each file,ss (Spreadsheet): bound spreadsheet; fileInfo (Object): {id; name; month; year; url}; result (Object): {rowsAdded; status}; processedMap (Object): in-memory map,Boolean: true if logged; false if skipped as duplicate,Appends row with Timestamp; File Name; Month; Year; Rows Added; Status; File Link; idempotency check prevents duplicates,Duplicate tracker rows → Idempotency check failed (rare); manually delete duplicate row; report issue,loadProcessedMap_; normalizeLookupKey_; extractUrlFromHyperlinkFormula_,Duplicate detection: 6 different matching keys (filename; ID; URL variants); if ANY key exists in map; skip logging
logPerfEntry_,Logging,"Log performance metrics (timing data) to """"GR Automation Perf"""" sheet",processSingleFile_() after completing each file,fileInfo (Object): {id; name; year}; timings (Object): {convertMs; openMs; parseMs; appendMs; totalMs},None (appends to Perf sheet),"Appends row to ""GR Automation Perf"" sheet with Timestamp; File Name; Year; timing breakdown; rows added; status",Perf sheet not created → Auto-created on first call,ensurePerfSheetExists_,Useful for performance monitoring; identify slow files; debug bottlenecks; analyze trends over time
cleanupTempFiles,Maintenance,Delete temp files from _GR_AUTOMATION_TEMP folder (move to Drive Trash),"Manual menu click: ""Admin"" → ""Clean Temp Files""",None,"None (files moved to Trash); notification shows count (e.g.; ""5 temp files cleaned up"")",Moves all files in temp folder to Drive Trash; frees up Drive space; files recoverable for 30 days from Trash,Cleanup fails silently → Files still in temp folder; manually delete from Drive; permissions issue → Verify you can delete files in temp folder,getOrCreateTempFolder_; isTempArtifactName_,Safe to run anytime; routine maintenance (recommend monthly); files are in Trash; not permanently deleted
backfillMissingSourceLinksPreview,Backfill,Show preview (count) of rows that could be matched to source files WITHOUT making changes,"Manual menu click: ""Tracker & Logs"" → ""Backfill Source Links (Preview)""",None,"None (notification shows count; e.g.; ""20 rows could be matched"")",Read-only; no changes made; helps user verify matching logic before applying changes,No matches found → Source files not in source folder; Verify files are uploaded,backfillMissingSourceLinksNow,Safe to run anytime; good to run before applying; verifies matching confidence
backfillMissingSourceLinksNow,Backfill,Match output rows to source files and fill Source File column with hyperlinks,"Manual menu click: ""Tracker & Logs"" → ""Backfill Source Links (Now)""",None,None (output sheets updated); Source File column now has HYPERLINK formulas,Updates Source File column in all output sheets with matched file links; some rows may remain blank if no match found,False positives (wrong file linked) → Spot-check rows; matching logic is ~95% accurate for high-PO-number matches; some manual correction may be needed,backfillMissingSourceLinksPreview; buildFileUrlMapByName_,Matching: compares PO numbers + filename tokens; confidence threshold prevents most false positives
repairMainSiteColumnsNow,Backfill,Backfill missing enrichment columns (Region; Site; Territory) for existing output rows,"Manual menu click: ""GR Posted Sheets"" → ""Backfill Lookup & Territory (existing rows)""",None,None (output sheets updated); enrichment columns filled for rows that had blanks,Scans all output sheets; looks up enrichment for rows with blank enrichment columns; updates in-place,Some enrichment still blank → PLA Lookup sheet incomplete; Add more PLA records; PLA IDs in data don't match lookup keys; verify exact PLA ID values,getEnrichmentForRow_; loadPlaLookupMap_,Idempotent: safe to run multiple times; only updates cells that are blank
convertAmountToUsdForAllData,Backfill,Recalculate USD conversion for all rows (if CONFIG.usdConversionRate changed),"Manual menu click: ""GR Posted Sheets"" → ""Recompute USD for All Rows""",None,None (output sheets updated); USD column values recalculated,Scans all output sheets; recalculates USD amount for each row using new CONFIG.usdConversionRate; updates in-place,All USD amounts still wrong → Verify CONFIG.usdConversionRate is correct; re-run; Check that Amount To Billed column has numeric values,toUsdIfPhp_; CONFIG.usdConversionRate,Useful if exchange rate changed; re-run after updating CONFIG.usdConversionRate
fixSourceFileHyperlinksNow,Backfill,Convert plain-text source file links to clickable HYPERLINK formulas,"Manual menu click: ""GR Posted Sheets"" → ""Fix Source File Hyperlinks""",None,None (output sheets updated); Source File column now has HYPERLINK formulas,Updates Source File column; converts plain text to hyperlinks; makes links clickable,Some links not converted → May be malformed URLs; manually check format; Test clicking a link after running,extractUrlFromHyperlinkFormula_,Useful after manual data entry; converts links on existing rows
normalizeTrackerFileLinkColumnNow,Backfill,Ensure all tracker file links are clickable hyperlinks,"Manual menu click: ""Tracker & Logs"" → ""Fix Tracker File Links""",None,None (Processed Files Log updated); File Link column has HYPERLINK formulas,Updates Processed Files Log File Link column; converts plain text to hyperlinks,Some links not converted → Malformed URLs; manually review format; Test clicking a link,extractUrlFromHyperlinkFormula_,Similar to fixSourceFileHyperlinksNow but for tracker sheet
backfillTrackerMonthsNow,Backfill,Fill missing Month column values in Processed Files Log by extracting from filename/file date,"Manual menu click: ""Tracker & Logs"" → ""Backfill Missing Months""",None,None (Processed Files Log updated); Month column has extracted month values,Scans tracker rows; for blanks in Month column; extracts month from filename or file date; updates in-place,Some months still blank → Filename has no month token; file date not available; can manually enter; Month values wrong → Regex extraction matched wrong numbers; manually correct,extractMonthFromDate_; detectYearFromNameOrFileDate_,Useful for cleaner tracker reporting; improves dashboard accuracy
debugMainSiteSetup,Diagnostic,Check and verify all required sheets and columns exist with correct names; suggests fixes if issues found,"Manual menu click: ""Admin"" → ""Check Lookup & Output Setup""",None,"None (modal shown); displays verification result (""Setup verified!"" or specific issues)",Scans bound spreadsheet for required sheets; checks headers; reports missing or misconfigured sheets; suggests fixes,Issues reported → Create missing sheet; add missing columns; re-run diagnostic,ensureSheets_; ensureEnrichmentColumns_,Good troubleshooting step; run if script seems broken; suggests exact fixes needed
debugTestSingleFile,Diagnostic,Process a single file with detailed debug output; useful for troubleshooting why a file fails,"Manual menu click: ""Admin"" → ""Test One Source File (Debug)""",None,None (file picker shown); after selection; file is processed and debug output displayed,Single file processed; detailed logs shown (headers detected; rows extracted; enrichment; errors); helpful for diagnosing issues,No output shown → Check browser console (F12) for errors; Try different file; File picker doesn't work → Verify permissions,processSingleFile_; parseConvertedSheet_; evaluateSheetCandidate_,Excellent for troubleshooting specific files; shows exact header matches; row counts; errors with full context
listCandidateFilesByYear_,File Discovery,Scan source Drive folder and build candidate list of new files grouped by year; apply processing limits,consolidateGRTemplateData() at start of run,folder (Folder): Drive source folder; failedAttemptsMap (Object): file ID → failure count,Object: {year → [fileInfo array]}; example: {2025: [{id; name; year; ...}; {...}]; 2026: [...]},Scans folder; filters by file type; detects year; applies maxFilesPerRunTotal and maxFilesPerRunPerYear limits; skips >10MB and failed files,No files found → Verify source folder exists and has correct name (CONFIG.sourceFolderName); Verify Excel files are actually there,findFolder_; detectYearFromNameOrFileDate_; loadProcessedMap_; loadFailedAttemptsMap_; shouldSkipFileForPerformance_,Candidate list determines what gets processed in current run; respects limits to prevent timeouts
loadProcessedMap_,Tracker,Read Processed Files Log into in-memory map for fast duplicate detection,consolidateGRTemplateData() at start; buildProcessList_(),ss (Spreadsheet): bound spreadsheet,Object: {file key → true}; multiple keys per file (filename; ID; URL variants),Reads tracker sheet; builds map with 6 different key types per file; used to prevent duplicate logging and detect already-processed files,Tracker sheet not found → auto-created; Map incorrect → Manually review Processed Files Log for duplicate rows; clean up if needed,appendTrackerRowIfNotDuplicate_; loadFailedAttemptsMap_,Critical for idempotency; 6 key types ensure duplicates caught across filename changes; URL variations; Drive ID changes
loadFailedAttemptsMap_,Tracker,Read Processed Files Log and count failed attempts per file; skip files with too many failures,consolidateGRTemplateData() at start; buildProcessList_(),ss (Spreadsheet): bound spreadsheet,Object: {file ID → failure count}; skips files with >= CONFIG.maxFailedAttemptsPerFile (default 5),"Reads tracker; counts rows with """"no data extracted""""; """"error:""""; """"needs manual check"""" status; counts per file ID; used to skip repeat failures",Map incorrect → Manually fix tracker rows if status is wrong; Reset failure count by deleting old tracker rows for a file,listCandidateFilesByYear_; shouldSkipFileForPerformance_,Prevents wasting time on persistently failing files; can reset by clearing tracker entries
detectHeaderRowAndMap_,Header Detection,Scan rows to detect header row and map canonical column names to cell indices,evaluateSheetCandidate_() before row extraction,values (Array): 2D array of raw cell values from sheet,Object: {headerRowIndex (number): 0-based row number; columnMap (Object): {header name → column index}}; throws if no header found,Scans up to CONFIG.headerScanMaxRows (~80); finds row with most header matches; returns column mapping,"No header found → Status: """"No data extracted""""; Fix by checking file format; ensuring header row with >3 expected columns exists",createColumnMapping_; HEADER_ALIASES; countMappedHeaders_; normalizeText_,Uses fuzzy matching with HEADER_ALIASES; requires min CONFIG.minHeaderMatches (3) matches to be valid
onOpen,UI Setup,Apps Script onOpen trigger; builds GR Automation menu when spreadsheet opens,Automatic: runs when sheet opens; Manual: can be triggered by clicking Run in Apps Script,None,None (menu created); menu appears in spreadsheet,"Creates """"GR Automation"""" menu with submenus; called on every sheet open; idempotent",Menu not appearing → Run onOpen manually; Grant permissions when prompted; Reload sheet; Menu items not working → Check CONFIG syntax; Verify functions exist in script,establishConfiguredYears_; openPlaLookupSheet,Automatically runs; safe to trigger manually via Run button in Apps Script
openPlaLookupSheet,UI Interaction,Open and display the PLA Lookup sheet in the spreadsheet,"Manual menu click: ""GR Automation"" → (top-level action; not in submenu)",None,None (sheet activated),"Navigates to ""PLA Lookup"" sheet; makes it visible","PLA Lookup sheet not found → Script creates it automatically on first run; if missing; run ""Check Lookup & Output Setup"" diagnostic",findOutputSheetByYear_,Convenience action; quickly jump to lookup sheet for editing
getConfiguredYears_,Configuration,Read CONFIG.outputSheets and return list of configured years,getConfiguredYearsForUi(); showYearPicker(),None,Array: [2025; 2026; ...] based on CONFIG.outputSheets keys,Returns years from CONFIG for UI display,Empty array → CONFIG.outputSheets is empty; Edit CONFIG to add years; Years wrong → Verify CONFIG.outputSheets object,showYearPicker; getConfiguredYearsForUi,Simple lookup; used for building year picker menu
readConfigMappings_,Configuration,Read GR Automation Config sheet and return year→sheet→spreadsheet mappings,getConfigMappingsCached_() on first call; cached thereafter,None,Object: {year → {sheetName; spreadsheetId}}; or empty object if no config,"Reads """"GR Automation Config"""" sheet; builds mapping for external spreadsheet routing",Config sheet not found → auto-created; empty; No mappings → Rows not in config; Add year/sheet/ssId rows to configure,getConfigMappingsCached_; clearConfigMappingsCache_; writeConfigMapping_,Optional: if not used; defaults in CONFIG.outputSheets are used
addConfiguredYear,Configuration,Add a new year mapping to GR Automation Config sheet and optionally create output sheet,Called programmatically during setup (or manually via menu if exposed),"year (number): e.g.; 2027; sheetName (string): e.g.; ""GR Posted 2027""; spreadsheetId (string): spreadsheet URL/ID; createSheet (boolean): true to create sheet",None (config updated); sheet created if createSheet=true,Writes row to GR Automation Config; optionally creates new output sheet; clears config cache,Error writing config → Permissions issue on Config sheet; Verify you can edit that sheet,writeConfigMapping_; clearConfigMappingsCache_,Used to expand system for new years; can be called programmatically or exposed as menu item
isSummaryOrFooterRow_,Row Filtering,Detect if a row is a summary/footer/total row (should be skipped),extractRowsWithFilter_() for each row candidate,rawRow (Array): raw cell values; dispRow (Array): display values,Boolean: true if summary; false if data row,Returns true for rows matching summary patterns (TOTAL; SUBTOTAL; SUMMARY; GRAND TOTAL; OVERALL; AVERAGE; etc.),False positive (data row marked as summary) → Add specific keyword to SUMMARY_KEYWORDS constant in script; re-run,extractRowsWithFilter_; SUMMARY_KEYWORDS constant; isLikelyMergedArtifactRow_,Filters out junk rows automatically; improves data quality
isLikelyMergedArtifactRow_,Row Filtering,Detect if a row is likely a merged-cell artifact (unusual formatting; should be skipped),extractRowsWithFilter_() for each row candidate,rawRow (Array); dispRow (Array),Boolean: true if merged artifact; false if normal row,Heuristic check for merged cell patterns; returns true for rows with suspicious formatting,False positive → Improve heuristic (rare); report issue; False negative (merged artifact not detected) → Unlikely; rare edge case,extractRowsWithFilter_; isCellPresent_,Helps skip formatting artifacts; improves data extraction quality
isEmptyRow_,Row Filtering,Detect if a row is empty (all cells blank); should be skipped,extractRowsWithFilter_() for each row candidate,rawRow (Array); dispRow (Array),Boolean: true if empty; false if has data,Simple check: all cells are blank or whitespace,False positive → Row has data but looks blank (rare); check for hidden characters,extractRowsWithFilter_; isCellPresent_,Filters out blank rows; improves data quality
isSheetRowVisible_,Row Filtering,Check if a specific row in a sheet is hidden/filtered (visible or not),extractRowsWithFilter_() if CONFIG.onlyIncludeVisibleRows=true,sheet (Sheet): sheet object; rowNumber (number): 1-based row number,Boolean: true if row is visible; false if hidden/filtered,Uses Sheet.isRowHidden() to check; skips hidden rows if CONFIG.onlyIncludeVisibleRows=true,Row visibility check incorrect → Rare; Google Sheets API edge case; ignore if rare,extractRowsWithFilter_; CONFIG.onlyIncludeVisibleRows,Respects user's manual hiding/filtering; improves data quality by excluding filtered rows
isRepeatedHeaderRow_,Row Filtering,Detect if a row is a repeated header row (same as header; should be skipped),extractRowsWithFilter_() for each row candidate,row (Array): raw cell values from row,Boolean: true if row looks like header (all header names present); false if data row,Checks if row contains >3 header names; skips repeated headers,False positive (data row marked as header) → Improve threshold; rare,extractRowsWithFilter_; normalizeText_,Filters out repeated headers (common in multi-page exports)
isLikelyDataRow_,Row Filtering,Quick check: does row look like it might have data (passes basic sniff test),extractRowsWithFilter_() for each row candidate,rawRow (Array); dispRow (Array),Boolean: true if row might be data; false if obviously not (e.g.; all formatting; no values),Simple heuristic: checks for non-empty cells in key columns,False positive (trash row classified as data) → Re-check with other filters (summary; empty; merged artifact); is caught downstream,extractRowsWithFilter_; isNonTrivialRow_,Quick filter; faster than detailed analysis; combined with other filters for accuracy
isNonTrivialRow_,Row Filtering,Check if row is non-trivial (has at least some real data; not all whitespace/formatting),extractRowsWithFilter_() for each row candidate,rawRow (Array); dispRow (Array),Boolean: true if non-trivial; false if all whitespace/empty,Counts non-empty cells; threshold: >1 cell with data,False positive → Row has numeric formatting but no values; caught by other filters,extractRowsWithFilter_; isCellPresent_,Helps filter out rows with only formatting/borders
isCellPresent_,Cell Detection,Check if a cell has meaningful content (not blank; not just whitespace),isSummaryOrFooterRow_(); isNonTrivialRow_(); other checks,rawValue (any): raw cell value; displayValue (string): display representation,Boolean: true if cell has content; false if blank/whitespace only,Checks both raw and display values; handles various blank representations,Always returns false (cell seems blank) → Check cell formatting; may be custom format hiding value,isEmptyRow_; isLikelyDataRow_; isNonTrivialRow_,Conservative check; prefers to consider cells present unless clearly blank
formatCellByHeader_,Cell Formatting,Apply appropriate formatting (date; currency; percentage) to a cell based on column header,appendRowsWithSourceLink_() for each cell being appended,header (string): column name; rawValue (any): raw value; displayValue (string): display representation,Formatted value ready for Google Sheet; may include %-conversion (e.g.; 0.5 → 50%),Applies formatting based on header; special handling for Payment Milestone (0-1 range → percentage),Wrong formatting applied → Check if column name matches expected list in COLUMN_MAPPING; Manually fix formatting if needed,applyAmountFallback_; toUsdIfPhp_; fillCurrencyFromHints_,Date columns: converted to Sheet date format; Currency columns: currency format; %: percentage format; Payment Milestone: 0-1 → 0-100%
applyAmountFallback_,Cell Formatting,Fill Amount To Billed column if blank; use Sub Total as fallback,appendRowsWithSourceLink_() for each row; formatCellByHeader_(),outRow (Array): output row being built; COL (Object): column index map,Modified outRow with Amount To Billed filled (or left as-is if already present),Updates Amount To Billed if blank; uses Sub Total value as fallback; helps prevent missing amounts,Fallback not applied → Sub Total column also blank; acceptable (no data available),formatCellByHeader_; toUsdIfPhp_,Improves data completeness; ensures Amount To Billed column is populated when possible
fillCurrencyFromHints_,Cell Formatting,Infer currency (PHP; EUR; USD; etc.) from cell number format or other hints,appendRowsWithSourceLink_() for each row; formatCellByHeader_(),outRow (Array); rowFormats (Object): format data; columnMap (Object): column indices,Modified outRow with Currency column filled (or left as-is if already present); infers PHP; EUR; USD,Uses CONFIG.useNumberFormatCurrencyHints to optionally infer from cell format; attempts to detect currency,Currency inferred incorrectly → Set CONFIG.useNumberFormatCurrencyHints=false; manually set currency values,formatCellByHeader_; toUsdIfPhp_,Advanced feature; usually left disabled (CONFIG.useNumberFormatCurrencyHints = false)
findFolder_,Drive Access,Search Google Drive for a folder by exact name,listCandidateFilesByYear_(); getOrCreateTempFolder(),name (string): folder name to search for,Folder object (Google Drive API) or null if not found,Searches Drive root and subfolders; returns first matching folder; null if not found,Folder not found → Verify folder exists on Drive; Check spelling of folder name; Must match CONFIG.sourceFolderName exactly,getOrCreateTempFolder_; isTempArtifactName_,Folder name must match exactly (case-insensitive); if multiple folders have same name; returns first found
